time,open,high,low,close,Fast EMA,Slow EMA,Buy Signal,Sell Signal,Buy/Sell Ribbon,Buy/Sell Ribbon,Buy more signals,Sell more signals,Volume,Volume MA
2021-06-30T07:00:00+07:00,35899.955,36095.705,34049.59,35041.1075,34681.19544,35897.25497,0,0,NaN,NaN,NaN,NaN,27931.65612,35048.47898
2021-07-01T07:00:00+07:00,35068.0775,35086.5175,32711.0625,33534.25,34504.7423,35722.21756,0,0,NaN,NaN,NaN,NaN,22555.92006,34928.66169
2021-07-02T07:00:00+07:00,33519.6675,33979.1325,32706.545,33809.2275,34397.74002,35580.5146,0,0,NaN,NaN,NaN,2,17937.09407,34556.5601
2021-07-03T07:00:00+07:00,33806.4,34946.3375,33331.0525,34684.7125,34441.88963,35514.15889,0,0,NaN,NaN,NaN,NaN,10949.89888,33693.005
2021-07-04T07:00:00+07:00,34682.1675,35961.4025,34393.62,35293.315,34572.87815,35497.80008,0,0,NaN,NaN,NaN,NaN,9837.481198,32165.25849
2021-07-05T07:00:00+07:00,35283.9775,35287.76,33120.04,33697.2525,34438.16651,35364.42618,0,0,NaN,NaN,NaN,NaN,17193.96982,31494.94705
2021-07-06T07:00:00+07:00,33704.8575,35107.0525,33473.995,34232.385,34406.50782,35280.57128,0,0,NaN,NaN,NaN,2,17584.24799,30845.57339
2021-07-07T07:00:00+07:00,34225.53,35075.04,33800.6575,33882.7525,34325.93008,35177.02915,0,0,NaN,NaN,NaN,NaN,15289.59996,30205.23556
2021-07-08T07:00:00+07:00,33876.09,33941.29,32106.4,32883.2225,34103.97507,35007.11755,0,0,NaN,NaN,NaN,NaN,24868.53388,29603.46552
2021-07-09T07:00:00+07:00,32882.375,34110.12,32277.8175,33818.1725,34060.00544,34919.04754,0,0,NaN,NaN,NaN,NaN,13940.39307,28986.07793
2021-07-10T07:00:00+07:00,33824.505,34260.8775,33014.06,33519.4025,33976.83576,34815.37013,0,0,NaN,NaN,NaN,NaN,10133.4246,27878.86872
2021-07-11T07:00:00+07:00,33518.1,34614.3225,33334.2325,34251.9575,34019.16218,34773.63586,0,0,NaN,NaN,NaN,NaN,10907.81188,25017.13672
2021-07-12T07:00:00+07:00,34265.07,34670.7275,32668.2225,33103.185,33878.24261,34649.89876,0,0,NaN,NaN,NaN,NaN,15749.77502,21617.72171
2021-07-13T07:00:00+07:00,33092.655,33338.255,32199.885,32724.8375,33700.79567,34507.30163,0,0,NaN,NaN,NaN,NaN,15308.99715,20408.42357
2021-07-14T07:00:00+07:00,32733.18,33113.145,31586.635,32819.0775,33565.14672,34382.24799,0,0,NaN,NaN,NaN,NaN,17710.48548,19840.06677
2021-07-15T07:00:00+07:00,32818.685,33186.2225,31117.86,31856.78,33302.32107,34195.17629,0,0,NaN,NaN,NaN,NaN,18572.49268,18696.61346
